Ticker,Name,Sector,MarketCap,PE,ForwardPE,PB,PS,EVEBITDA,DivYield,ROE,ROA,OperatingMargin,DebtToEquity,CurrentPrice,LastUpdated,Value_Score,Quality_Score,Yield_Score,Total_Score
4012.SR,Thob Al Aseel Co.,Consumer Cyclical,1496000000.0,14.96,14.8240735,2.450852,2.8323708,9.535,543.0,16.635999,10.216,18.759999999999998,5.44,3.74,2026-04-27T13:10:35.668759+00:00,,2.4151184559351533,0.21344463096955107,
8012.SR,Aljazira Takaful Taawuni Co.,Financial Services,749100032.0,18.916666,14.8240735,0.74392086,2.2561147,9.493,264.0,4.018999999999999,0.914,16.092000000000002,1.495,11.35,2026-04-27T13:10:35.777830+00:00,,0.04022685814023341,-0.12268548402859422,
1111.SR,Saudi Tadawul Group Holding Co.,Financial Services,16320000000.0,41.21212,22.442244,4.7403274,12.9397135,42.214,163.0,11.3800004,2.2319999999999998,24.483,17.044,136.0,2026-04-27T13:10:35.779286+00:00,,0.6688527644653054,-0.24436699519279736,
4322.SR,Retal Urban Development co.,Real Estate,7390759424.0,25.101696,17.630953,7.288386,3.0317237,20.304,148.0,34.579,5.0440002,21.47,144.207,14.81,2026-04-27T13:10:35.786058+00:00,,1.7856805264279783,-0.26243850675183744,
4080.SR,Sinad Holding Co.,Industrials,1105902720.0,17.443037,14.8240735,1.0726984,0.6526885,9.712,0.0,1.7870000000000001,3.193,10.714,36.865,8.75,2026-04-27T13:10:35.786524+00:00,,0.28456343710700355,-0.44074408746769944,
4140.SR,Saudi Industrial Export Co.,Industrials,449064000.0,17.443037,14.8240735,3.8888888,inf,-30.259,0.0,-13.512999,-6.409,0.0,46.34,2.31,2026-04-27T13:10:35.787015+00:00,,-2.3925244542905295,-0.44074408746769944,
2080.SR,National Gas and Industrializat,Energy,6097500160.0,24.487953,14.8240735,3.097851,1.8653502,23.47,285.0,12.86,4.3020000000000005,5.276,3.906,81.3,2026-04-27T13:10:35.787468+00:00,,0.8687498832767445,-0.09738536784593813,
4030.SR,National Shipping Company of Sa,Industrials,32133691392.0,13.239543,13.9279995,2.1044362,3.1056883,9.767,235.0,16.608,5.903,32.33,75.41,34.82,2026-04-27T13:10:35.788056+00:00,,1.622426992306787,-0.15762373970940502,
1183.SR,SHL Finance Co.,Financial Services,1572000000.0,30.82353,14.8240735,0.9047482,8.049897,10.232,0.0,2.9590001,1.0959999999999999,35.799998,167.5,15.72,2026-04-27T13:10:35.790005+00:00,,0.06076398681594944,-0.44074408746769944,
2110.SR,Saudi Cable Co.,Industrials,1018285504.0,4.985299,14.8240735,-4.75049,6.5294805,-12.871,0.0,0.0,-8.118,-66.93599999999999,46.34,152.6,2026-04-27T13:10:35.790522+00:00,,-3.307953636356373,-0.44074408746769944,
4310.SR,Knowledge Economic City,Real Estate,3986775040.0,17.443037,14.8240735,1.3515067,12.49825,-304.935,0.0,-1.1109999000000002,-0.299,-7.245,74.04,11.75,2026-04-27T13:10:35.791371+00:00,,-0.8718300733377257,-0.44074408746769944,
4280.SR,Kingdom Holding Co.,Industrials,39024177152.0,18.155172,32.90625,0.6681896,15.460887,46.096,271.0,3.918,0.865,34.577999999999996,22.689,10.53,2026-04-27T13:10:35.793946+00:00,,0.2764521768922655,-0.11425211196770886,
4200.SR,Aldrees Petroleum and Transport,Consumer Cyclical,12080000000.0,28.625595,27.268625,7.154279,0.45139244,19.679,168.0,0.0,0.0,2.27,258.191,120.8,2026-04-27T13:10:35.808122+00:00,,-0.9407724244023423,-0.23834315800645067,
2250.SR,Saudi Industrial Investment Gro,Basic Materials,9435476992.0,17.443037,11.575,1.0796735,3.1056883,-122.717,7718.000000000001,-1.1280000000000001,-0.46299999999999997,0.0,46.34,13.89,2026-04-27T13:10:35.826886+00:00,,-0.7462827051318819,8.857650993377053,
